[rosmaster.master][INFO] 2023-09-25 13:03:49,810: -SUB [/odom] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,814: -PUB [/clicked_point] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,816: -PUB [/move_base_simple/goal] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,824: -PUB [/initialpose] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,828: -SUB [/tf_static] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,830: -SUB [/tf] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,832: -SERVICE [/rviz/save_config] /rviz rosrpc://LAPTOP-CB8EFKQO:33785
[rosmaster.master][INFO] 2023-09-25 13:03:49,833: -SERVICE [/rviz/load_config] /rviz rosrpc://LAPTOP-CB8EFKQO:33785
[rosmaster.master][INFO] 2023-09-25 13:03:49,835: -SERVICE [/rviz/reload_shaders] /rviz rosrpc://LAPTOP-CB8EFKQO:33785
[rosmaster.master][INFO] 2023-09-25 13:03:49,980: -PUB [/rosout] /rviz http://LAPTOP-CB8EFKQO:44017/
[rosmaster.master][INFO] 2023-09-25 13:03:49,981: -SERVICE [/rviz/get_loggers] /rviz rosrpc://LAPTOP-CB8EFKQO:33785
[rosmaster.master][INFO] 2023-09-25 13:03:49,982: -SERVICE [/rviz/set_logger_level] /rviz rosrpc://LAPTOP-CB8EFKQO:33785
[rosmaster.master][INFO] 2023-09-25 13:03:49,983: -CACHEDPARAM [/rosout_disable_topics_generation] by /rviz
[rosmaster.master][INFO] 2023-09-25 13:03:50,056: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:39933/ ['http://LAPTOP-CB8EFKQO:42503/']
[rosmaster.master][INFO] 2023-09-25 13:03:50,076: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:39933/ ['http://LAPTOP-CB8EFKQO:42503/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2023-09-25 13:20:35,771: -PUB [/rosout] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:20:35,774: -PUB [/tf] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:20:35,775: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:39933/ []
[rosmaster.master][INFO] 2023-09-25 13:20:35,777: -PUB [/tf_static] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:20:35,781: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:39933/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2023-09-25 13:20:35,782: -SUB [/joint_states] /robot_state_publisher http://LAPTOP-CB8EFKQO:42503/
[rosmaster.master][INFO] 2023-09-25 13:20:35,784: -SERVICE [/robot_state_publisher/get_loggers] /robot_state_publisher rosrpc://LAPTOP-CB8EFKQO:33859
[rosmaster.master][INFO] 2023-09-25 13:20:35,786: -SERVICE [/robot_state_publisher/set_logger_level] /robot_state_publisher rosrpc://LAPTOP-CB8EFKQO:33859
[rosmaster.master][INFO] 2023-09-25 13:20:36,184: -PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:20:36,184: -SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:39933/
[rosmaster.master][INFO] 2023-09-25 13:20:36,185: -SERVICE [/rosout/get_loggers] /rosout rosrpc://LAPTOP-CB8EFKQO:51527
[rosmaster.master][INFO] 2023-09-25 13:20:36,186: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://LAPTOP-CB8EFKQO:51527
[rosmaster.master][INFO] 2023-09-25 13:20:36,186: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2023-09-25 13:20:36,290: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-09-25 13:20:36,290: stopping master...
[rospy.core][INFO] 2023-09-25 13:20:36,291: signal_shutdown [atexit]
