[rosmaster.master][INFO] 2023-09-19 13:09:22,475: -PUB [/velodyne_points] /play_1695095467798965312 http://LAPTOP-CB8EFKQO:45965/
[rosmaster.master][INFO] 2023-09-19 13:09:22,481: -PUB [/velodyne_nodelet_manager/bond] /play_1695095467798965312 http://LAPTOP-CB8EFKQO:45965/
[rosmaster.master][INFO] 2023-09-19 13:09:22,483: -SERVICE [/play_1695095467798965312/get_loggers] /play_1695095467798965312 rosrpc://LAPTOP-CB8EFKQO:42505
[rosmaster.master][INFO] 2023-09-19 13:09:22,485: -SERVICE [/play_1695095467798965312/set_logger_level] /play_1695095467798965312 rosrpc://LAPTOP-CB8EFKQO:42505
[rosmaster.master][INFO] 2023-09-19 13:09:22,486: -SERVICE [/play_1695095467798965312/pause_playback] /play_1695095467798965312 rosrpc://LAPTOP-CB8EFKQO:42505
[rosmaster.master][INFO] 2023-09-19 13:09:22,487: -CACHEDPARAM [/rosout_disable_topics_generation] by /play_1695095467798965312
[rosmaster.master][INFO] 2023-09-19 13:09:22,504: publisherUpdate[/rosout] -> http://LAPTOP-CB8EFKQO:33093/ []: sec=0.03, result=[1, '', 0]
[rosmaster.master][INFO] 2023-09-19 13:37:43,562: -PUB [/rosout_agg] /rosout http://LAPTOP-CB8EFKQO:33093/
[rosmaster.master][INFO] 2023-09-19 13:37:43,562: -SUB [/rosout] /rosout http://LAPTOP-CB8EFKQO:33093/
[rosmaster.master][INFO] 2023-09-19 13:37:43,563: -SERVICE [/rosout/get_loggers] /rosout rosrpc://LAPTOP-CB8EFKQO:44951
[rosmaster.master][INFO] 2023-09-19 13:37:43,564: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://LAPTOP-CB8EFKQO:44951
[rosmaster.master][INFO] 2023-09-19 13:37:43,564: -CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.main][INFO] 2023-09-19 13:37:43,586: keyboard interrupt, will exit
[rosmaster.main][INFO] 2023-09-19 13:37:43,586: stopping master...
[rospy.core][INFO] 2023-09-19 13:37:43,586: signal_shutdown [atexit]
